Time,Energy
23195,21997.4
23196,21890.43
23197,21612.98
23198,21585.94
23199,21807.59
23200,21791.5
23201,21668.39
23202,21833.1
23203,21990.6
23204,20645.58
23205,18987.7
23206,17682.66
23207,16643.66
23208,15929.48
23209,15481.28
23210,15231.09
23211,15278.73
23212,15111.49
23213,15742.85
23214,17095.2
23215,18184.79
23216,18919.38
23217,19135.31
23218,19067.49
23219,19310.66
23220,19228.41
23221,18912.69
23222,18602.83
23223,18301.1
23224,18258.88
23225,18062.9
23226,18457.21
23227,18772.41
23228,17798.85
23229,16594.33
23230,15502.46
23231,14499.38
23232,13923.23
23233,13477.18
23234,13337.75
23235,13309.56
23236,13102.96
23237,13408.98
23238,14157.36
23239,15064.61
23240,15795.15
23241,16475.04
23242,16573.2
23243,16824.79
23244,16969.36
23245,16816.5
23246,16706.28
23247,16755.83
23248,17139.76
23249,17407.58
23250,17927.03
23251,18248.65
23252,17310.95
23253,16472.34
23254,15318.6
23255,14434.54
23256,14002.25
23257,13812.34
23258,13771.23
23259,14130.36
23260,14687.95
23261,17292.01
23262,19425.58
23263,20698.61
23264,21221.53
23265,21370.48
23266,21674.33
23267,21700.11
23268,21699.66
23269,21658.98
23270,21321.34
23271,21183.14
23272,20918.01
23273,20868.43
23274,21510.68
23275,21809.29
23276,20318.64
23277,18469.69
23278,17049.03
23279,16093.45
23280,15603.96
23281,15171.15
23282,15113.63
23283,15478.95
23284,15889.88
23285,17976.79
23286,19908.94
23287,21070.63
23288,21566.96
23289,21428.69
23290,21809.16
23291,22222.71
23292,22210.73
23293,22116.95
23294,22183.39
23295,22026.83
23296,21767.38
23297,21554.44
23298,21980.93
23299,22086.46
23300,20429.86
23301,18746.48
23302,17553.99
23303,16474.98
23304,15901.74
23305,15550.03
23306,15548.55
23307,15644.28
23308,16135.81
23309,18232.94
23310,20256.93
23311,21476.26
23312,21888.71
23313,22025.04
23314,22484.99
23315,22407.24
23316,22145.29
23317,21708.26
23318,21551.54
23319,21206.86
23320,21040.8
23321,21054.59
23322,21375.25
23323,21701.06
23324,20288.84
23325,18672.95
23326,17460.9
23327,16377.78
23328,15844.83
23329,15430.36
23330,15380.56
23331,15541.18
23332,16035.53
23333,18008.76
23334,19904.85
23335,20873.43
23336,21105.59
23337,20728.29
23338,20859.31
23339,20720.28
23340,20561.13
23341,20177.51
23342,20388.56
23343,20411.85
23344,20356.24
23345,20286.04
23346,20822.61
23347,21157.84
23348,19663.19
23349,18028.68
23350,16773.56
23351,15752.8
23352,15048.8
23353,14742.19
23354,14813.69
23355,15098.03
23356,15572.85
23357,17382.0
23358,19295.84
23359,20205.36
23360,20223.48
23361,19814.35
23362,19760.86
23363,19774.64
23364,19723.84
23365,19629.51
23366,19832.36
23367,20035.08
23368,20203.86
23369,20129.73
23370,20623.6
23371,20975.69
23372,19446.38
23373,17911.05
23374,16761.99
23375,15718.36
23376,15054.96
23377,14697.13
23378,14584.41
23379,14685.81
23380,14594.36
23381,15002.86
23382,16128.95
23383,17417.1
23384,17908.89
23385,17729.31
23386,17570.98
23387,17587.75
23388,17219.83
23389,16973.5
23390,16778.06
23391,17227.93
23392,17508.0
23393,17676.48
23394,18010.86
23395,18294.76
23396,17200.28
23397,16251.54
23398,15189.7
23399,14150.71
23400,13573.84
23401,13216.45
23402,12959.41
23403,12965.5
23404,12892.68
23405,12956.81
23406,13532.8
23407,14402.16
23408,15258.69
23409,15569.19
23410,15295.41
23411,15280.85
23412,15331.99
23413,15071.83
23414,15279.66
23415,15245.9
23416,15403.71
23417,15922.11
23418,17016.98
23419,17443.29
23420,16560.43
23421,15582.93
23422,14368.14
23423,13690.0
23424,13304.99
23425,13285.3
23426,13345.55
23427,13748.46
23428,14500.79
23429,17108.81
23430,19297.6
23431,20081.19
23432,19837.56
23433,19446.69
23434,19611.48
23435,19496.45
23436,19602.21
23437,19661.19
23438,19964.78
23439,20319.11
23440,20460.48
23441,20649.56
23442,21418.55
23443,21787.56
23444,20106.6
23445,18220.53
23446,16835.48
23447,15861.11
23448,15327.05
23449,14994.41
23450,14906.53
23451,15198.13
23452,15925.16
23453,18162.05
23454,19950.81
23455,20721.53
23456,20612.35
23457,20011.46
23458,19839.2
